Page,Page ID,Reach,Engagements,Reactions,Clicks,Status,Comment
Framåt Fredag,119805709944,11305,1212,358,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Livsåskådning i P1,106274300790080,10954,2718,1052,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
SR Kultur,168857947906,8801,1219,251,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Dokumentär,228798347183274,3684,873,231,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Vetenskapsradion,284146694946848,1959,176,58,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Fråga musikprofessorn,430169800471268,1299,225,50,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Kropp & Själ i P1,241679605961181,1234,48,14,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Terni Generatcia,691673010986583,1085,147,32,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Snedtänkt,711858328882795,208,5,0,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Srholder4,130336026833181,8,0,0,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Srholder7,526539370549046,4,0,0,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Srholder6,211268752079039,3,0,0,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Srholder5,124013447470624,3,0,0,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Srholder3,146336105219667,1,0,0,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Srholder2,134248699768339,1,0,0,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Srholder1,129887596874519,1,0,0,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
